sample	label
TCGA-AB-2803	3
TCGA-AB-2805	5
TCGA-AB-2806	4
TCGA-AB-2807	6
TCGA-AB-2808	5
TCGA-AB-2810	1
TCGA-AB-2811	1
TCGA-AB-2812	4
TCGA-AB-2813	5
TCGA-AB-2814	4
TCGA-AB-2815	5
TCGA-AB-2816	5
TCGA-AB-2817	6
TCGA-AB-2818	5
TCGA-AB-2819	6
TCGA-AB-2820	1
TCGA-AB-2821	5
TCGA-AB-2822	4
TCGA-AB-2823	3
TCGA-AB-2824	2
TCGA-AB-2825	5
TCGA-AB-2826	7
TCGA-AB-2828	5
TCGA-AB-2830	2
TCGA-AB-2832	6
TCGA-AB-2833	5
TCGA-AB-2834	7
TCGA-AB-2835	7
TCGA-AB-2836	5
TCGA-AB-2837	5
TCGA-AB-2838	5
TCGA-AB-2839	4
TCGA-AB-2840	3
TCGA-AB-2841	2
TCGA-AB-2842	7
TCGA-AB-2843	2
TCGA-AB-2844	7
TCGA-AB-2845	6
TCGA-AB-2846	5
TCGA-AB-2847	6
TCGA-AB-2848	1
TCGA-AB-2849	2
TCGA-AB-2851	5
TCGA-AB-2853	4
TCGA-AB-2854	2
TCGA-AB-2855	1
TCGA-AB-2856	1
TCGA-AB-2857	2
TCGA-AB-2858	6
TCGA-AB-2859	4
TCGA-AB-2860	7
TCGA-AB-2861	7
TCGA-AB-2862	3
TCGA-AB-2863	4
TCGA-AB-2865	6
TCGA-AB-2866	7
TCGA-AB-2867	4
TCGA-AB-2868	2
TCGA-AB-2869	4
TCGA-AB-2870	6
TCGA-AB-2871	2
TCGA-AB-2872	3
TCGA-AB-2873	5
TCGA-AB-2874	3
TCGA-AB-2875	6
TCGA-AB-2877	4
TCGA-AB-2879	4
TCGA-AB-2880	6
TCGA-AB-2881	6
TCGA-AB-2882	6
TCGA-AB-2884	1
TCGA-AB-2885	6
TCGA-AB-2886	6
TCGA-AB-2887	6
TCGA-AB-2888	5
TCGA-AB-2889	6
TCGA-AB-2890	6
TCGA-AB-2891	6
TCGA-AB-2895	4
TCGA-AB-2896	NA
TCGA-AB-2897	3
TCGA-AB-2898	4
TCGA-AB-2899	6
TCGA-AB-2900	1
TCGA-AB-2901	4
TCGA-AB-2903	4
TCGA-AB-2904	4
TCGA-AB-2908	2
TCGA-AB-2909	6
TCGA-AB-2910	7
TCGA-AB-2911	5
TCGA-AB-2912	7
TCGA-AB-2913	4
TCGA-AB-2914	4
TCGA-AB-2915	2
TCGA-AB-2916	5
TCGA-AB-2917	4
TCGA-AB-2918	1
TCGA-AB-2919	4
TCGA-AB-2920	1
TCGA-AB-2921	1
TCGA-AB-2924	7
TCGA-AB-2925	7
TCGA-AB-2927	6
TCGA-AB-2928	6
TCGA-AB-2929	6
TCGA-AB-2930	6
TCGA-AB-2931	1
TCGA-AB-2932	5
TCGA-AB-2933	5
TCGA-AB-2934	5
TCGA-AB-2935	5
TCGA-AB-2936	2
TCGA-AB-2937	6
TCGA-AB-2938	2
TCGA-AB-2939	3
TCGA-AB-2940	2
TCGA-AB-2941	4
TCGA-AB-2942	5
TCGA-AB-2943	2
TCGA-AB-2944	6
TCGA-AB-2946	6
TCGA-AB-2948	5
TCGA-AB-2949	6
TCGA-AB-2950	6
TCGA-AB-2952	2
TCGA-AB-2954	5
TCGA-AB-2955	4
TCGA-AB-2956	1
TCGA-AB-2959	6
TCGA-AB-2963	7
TCGA-AB-2964	4
TCGA-AB-2965	7
TCGA-AB-2966	4
TCGA-AB-2967	7
TCGA-AB-2969	7
TCGA-AB-2970	6
TCGA-AB-2971	7
TCGA-AB-2972	2
TCGA-AB-2973	5
TCGA-AB-2975	4
TCGA-AB-2976	4
TCGA-AB-2977	1
TCGA-AB-2978	4
TCGA-AB-2979	2
TCGA-AB-2980	3
TCGA-AB-2981	5
TCGA-AB-2982	3
TCGA-AB-2983	6
TCGA-AB-2984	4
TCGA-AB-2985	5
TCGA-AB-2986	4
TCGA-AB-2987	5
TCGA-AB-2988	4
TCGA-AB-2990	4
TCGA-AB-2991	3
TCGA-AB-2992	5
TCGA-AB-2993	4
TCGA-AB-2994	3
TCGA-AB-2995	2
TCGA-AB-2996	5
TCGA-AB-2998	3
TCGA-AB-2999	3
TCGA-AB-3000	6
TCGA-AB-3001	3
TCGA-AB-3002	6
TCGA-AB-3005	7
TCGA-AB-3006	4
TCGA-AB-3007	3
TCGA-AB-3008	2
TCGA-AB-3009	3
TCGA-AB-3011	4
TCGA-AB-3012	3
TCGA-AB-2802	NA
TCGA-AB-2804	NA
TCGA-AB-2809	NA
TCGA-AB-2827	NA
TCGA-AB-2829	NA
TCGA-AB-2831	NA
TCGA-AB-2876	4
TCGA-AB-2878	2
TCGA-AB-2883	7
TCGA-AB-2892	5
TCGA-AB-2893	7
TCGA-AB-2894	4
TCGA-AB-2906	NA
TCGA-AB-2907	NA
TCGA-AB-2922	NA
TCGA-AB-2923	NA
TCGA-AB-2926	NA
TCGA-AB-2945	NA
TCGA-AB-2947	NA
TCGA-AB-2957	NA
TCGA-AB-2968	NA
TCGA-AB-2974	NA
TCGA-AB-2989	NA
TCGA-AB-2997	NA
